# basic_probleme_1.json
#
# theta_step | temps (en secondes) algo exact | temps (en secondes) algo glouton | temps génération (en secondes) | nb minimal de defenseurs necessaires
   0.05                    0.13                             0.12                                0.12                                 3
   0.04                    0.16                             0.15                                0.14                                 3
   0.031416                0.20                             0.18                                0.18                                 3
   0.03                    0.89                             0.20                                0.20                                 4
   0.028                   1.25                             0.23                                0.23                                 4
   0.025                   0.29                             0.25                                0.25                                 3
   0.022                   0.33                             0.28                                0.28                                 3
   0.02                    2.86                             0.32                                0.32                                 4
   0.018                   2.53                             0.35                                0.35                                 4
   0.015                   4.63                             0.42                                0.42                                 4
   0.012                   8.56                             0.52                                0.52                                 4
   0.01                   10.82                             0.62                                0.62                                 4
   0.008                  13.27                             0.78                                0.78                                 4
   0.005                  29.14                             1.25                                1.25                                 4
