# basic_probleme_2.json
#
# pos_step | temps total (en secondes) algo exact | temps total (en secondes) algo glouton | temps generation (en seconde) | nb minimal de defenseurs necessaires
   0.28                     0.65                                   0.58                                     0.58                              3
   0.25                     0.67                                   0.67                                     0.67                              2
   0.22                     0.91                                   0.91                                     0.91                              2
   0.2                      1.04                                   1.04                                     1.04                              2
   0.19                     1.21                                   1.21                                     1.21                              2
   0.18                     1.66                                   1.32                                     1.32                              3
   0.17                     1.53                                   1.53                                     1.53                              2
   0.16                     1.95                                   1.69                                     1.69                              3
   0.15                     2.01                                   2.01                                     2.01                              2
   0.14                     2.32                                   2.32                                     2.32                              2
   0.13                     3.12                                   2.72                                     2.72                              3
   0.12                     2.92                                   2.92                                     2.92                              2
   0.11                     3.58                                   3.57                                     3.57                              2
   0.1                      4.25                                   4.25                                     4.25                              2
   0.08                     6.97                                   6.97                                     6.97                              2
   0.05                    18.11                                  18.11                                    18.11                              2
